item_id	case_order	source_order	test_sample_index	task_id	target_token_index	target_token	generated_first_error	reference_token	source_rank	source_token_index	source_token	alti_saliency	source_context	target_context	generated_completion_preview	reference_completion_preview	full_generated_code_path	full_reference_code_path	full_generated_completion_path	full_reference_completion_path	full_prompt_path	human_label	human_confidence	human_rationale
test16_t595_s01	1	1	16	test16	595	.Load	LoadRestrictionsRootOnly	LoadRestrictionsNone	1	594	 types	0.005561	 are  returned <|im_end|> \n <|im_start|> assistant \n \tcase [SOURCE: types] .Load Restr ictions Root Only .String ():\n \t	 returned <|im_end|> \n <|im_start|> assistant \n \tcase  types [TARGET:.Load] Restr ictions Root Only .String ():\n \t \treturn	\tcase types.LoadRestrictionsRootOnly.String():\n\t\treturn types.LoadRestrictionsRootOnly\n\tcase types.LoadRestrictionsNone.String():\n\t\treturn types.LoadRestrictions	"\tcase types.LoadRestrictionsNone.String(), ""none"":\n\t\treturn types.LoadRestrictionsNone\n\tdefault:\n\t\treturn types.LoadRestrictionsRootOnly"	spurious_correlation_results/human_annotation/full_code/test16/generated.go	spurious_correlation_results/human_annotation/full_code/test16/reference.go	spurious_correlation_results/human_annotation/full_code/test16/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/prompt.txt			
test16_t595_s02	1	2	16	test16	595	.Load	LoadRestrictionsRootOnly	LoadRestrictionsNone	2	437	.Load	0.005263	Flags .load Restr ict or  {\n \tcase  types [SOURCE:.Load] Restr ictions Root Only .String (),\n \t \ttypes	 returned <|im_end|> \n <|im_start|> assistant \n \tcase  types [TARGET:.Load] Restr ictions Root Only .String ():\n \t \treturn	\tcase types.LoadRestrictionsRootOnly.String():\n\t\treturn types.LoadRestrictionsRootOnly\n\tcase types.LoadRestrictionsNone.String():\n\t\treturn types.LoadRestrictions	"\tcase types.LoadRestrictionsNone.String(), ""none"":\n\t\treturn types.LoadRestrictionsNone\n\tdefault:\n\t\treturn types.LoadRestrictionsRootOnly"	spurious_correlation_results/human_annotation/full_code/test16/generated.go	spurious_correlation_results/human_annotation/full_code/test16/reference.go	spurious_correlation_results/human_annotation/full_code/test16/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/prompt.txt			
test16_t595_s03	1	3	16	test16	595	.Load	LoadRestrictionsRootOnly	LoadRestrictionsNone	3	241	.Load	0.004982	"\t \t "" if  set  to  '""+ types [SOURCE:.Load] Restr ictions None .String () +\n \t\t \t"	 returned <|im_end|> \n <|im_start|> assistant \n \tcase  types [TARGET:.Load] Restr ictions Root Only .String ():\n \t \treturn	\tcase types.LoadRestrictionsRootOnly.String():\n\t\treturn types.LoadRestrictionsRootOnly\n\tcase types.LoadRestrictionsNone.String():\n\t\treturn types.LoadRestrictions	"\tcase types.LoadRestrictionsNone.String(), ""none"":\n\t\treturn types.LoadRestrictionsNone\n\tdefault:\n\t\treturn types.LoadRestrictionsRootOnly"	spurious_correlation_results/human_annotation/full_code/test16/generated.go	spurious_correlation_results/human_annotation/full_code/test16/reference.go	spurious_correlation_results/human_annotation/full_code/test16/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/prompt.txt			
test16_t595_s04	1	4	16	test16	595	.Load	LoadRestrictionsRootOnly	LoadRestrictionsNone	4	593	\tcase	0.017364	>  are  returned <|im_end|> \n <|im_start|> assistant \n [SOURCE:\tcase]  types .Load Restr ictions Root Only .String ():\n	 returned <|im_end|> \n <|im_start|> assistant \n \tcase  types [TARGET:.Load] Restr ictions Root Only .String ():\n \t \treturn	\tcase types.LoadRestrictionsRootOnly.String():\n\t\treturn types.LoadRestrictionsRootOnly\n\tcase types.LoadRestrictionsNone.String():\n\t\treturn types.LoadRestrictions	"\tcase types.LoadRestrictionsNone.String(), ""none"":\n\t\treturn types.LoadRestrictionsNone\n\tdefault:\n\t\treturn types.LoadRestrictionsRootOnly"	spurious_correlation_results/human_annotation/full_code/test16/generated.go	spurious_correlation_results/human_annotation/full_code/test16/reference.go	spurious_correlation_results/human_annotation/full_code/test16/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/prompt.txt			
test16_t595_s05	1	5	16	test16	595	.Load	LoadRestrictionsRootOnly	LoadRestrictionsNone	5	349	.Load	0.004317	 {\n \t \treturn  [] string {\n \t\t \ttypes [SOURCE:.Load] Restr ictions None .String (),\n \t\t \ttypes .Load	 returned <|im_end|> \n <|im_start|> assistant \n \tcase  types [TARGET:.Load] Restr ictions Root Only .String ():\n \t \treturn	\tcase types.LoadRestrictionsRootOnly.String():\n\t\treturn types.LoadRestrictionsRootOnly\n\tcase types.LoadRestrictionsNone.String():\n\t\treturn types.LoadRestrictions	"\tcase types.LoadRestrictionsNone.String(), ""none"":\n\t\treturn types.LoadRestrictionsNone\n\tdefault:\n\t\treturn types.LoadRestrictionsRootOnly"	spurious_correlation_results/human_annotation/full_code/test16/generated.go	spurious_correlation_results/human_annotation/full_code/test16/reference.go	spurious_correlation_results/human_annotation/full_code/test16/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/prompt.txt			
test16_t595_s06	1	6	16	test16	595	.Load	LoadRestrictionsRootOnly	LoadRestrictionsNone	6	357	.Load	0.002177	.Load Restr ictions None .String (),\n \t\t \ttypes [SOURCE:.Load] Restr ictions Root Only .String (),\n \t \t	 returned <|im_end|> \n <|im_start|> assistant \n \tcase  types [TARGET:.Load] Restr ictions Root Only .String ():\n \t \treturn	\tcase types.LoadRestrictionsRootOnly.String():\n\t\treturn types.LoadRestrictionsRootOnly\n\tcase types.LoadRestrictionsNone.String():\n\t\treturn types.LoadRestrictions	"\tcase types.LoadRestrictionsNone.String(), ""none"":\n\t\treturn types.LoadRestrictionsNone\n\tdefault:\n\t\treturn types.LoadRestrictionsRootOnly"	spurious_correlation_results/human_annotation/full_code/test16/generated.go	spurious_correlation_results/human_annotation/full_code/test16/reference.go	spurious_correlation_results/human_annotation/full_code/test16/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/prompt.txt			
test16_t595_s07	1	7	16	test16	595	.Load	LoadRestrictionsRootOnly	LoadRestrictionsNone	7	446	.Load	0.001573	"Restr ictions Root Only .String (),\n \t \ttypes [SOURCE:.Load] Restr ictions None .String (),  """":\n \t \treturn"	 returned <|im_end|> \n <|im_start|> assistant \n \tcase  types [TARGET:.Load] Restr ictions Root Only .String ():\n \t \treturn	\tcase types.LoadRestrictionsRootOnly.String():\n\t\treturn types.LoadRestrictionsRootOnly\n\tcase types.LoadRestrictionsNone.String():\n\t\treturn types.LoadRestrictions	"\tcase types.LoadRestrictionsNone.String(), ""none"":\n\t\treturn types.LoadRestrictionsNone\n\tdefault:\n\t\treturn types.LoadRestrictionsRootOnly"	spurious_correlation_results/human_annotation/full_code/test16/generated.go	spurious_correlation_results/human_annotation/full_code/test16/reference.go	spurious_correlation_results/human_annotation/full_code/test16/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/prompt.txt			
test16_t595_s08	1	8	16	test16	595	.Load	LoadRestrictionsRootOnly	LoadRestrictionsNone	8	226	.Load	0.007723	Load Restr ict or Name ,\n \t \ttypes [SOURCE:.Load] Restr ictions Root Only .String (),\n \t \t	 returned <|im_end|> \n <|im_start|> assistant \n \tcase  types [TARGET:.Load] Restr ictions Root Only .String ():\n \t \treturn	\tcase types.LoadRestrictionsRootOnly.String():\n\t\treturn types.LoadRestrictionsRootOnly\n\tcase types.LoadRestrictionsNone.String():\n\t\treturn types.LoadRestrictions	"\tcase types.LoadRestrictionsNone.String(), ""none"":\n\t\treturn types.LoadRestrictionsNone\n\tdefault:\n\t\treturn types.LoadRestrictionsRootOnly"	spurious_correlation_results/human_annotation/full_code/test16/generated.go	spurious_correlation_results/human_annotation/full_code/test16/reference.go	spurious_correlation_results/human_annotation/full_code/test16/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/prompt.txt			
test16_t595_s09	1	9	16	test16	595	.Load	LoadRestrictionsRootOnly	LoadRestrictionsNone	9	218	Load	0.003269	Flags .load Restr ict or ,\n \t \tflag [SOURCE:Load] Restr ict or Name ,\n \t \ttypes .Load	 returned <|im_end|> \n <|im_start|> assistant \n \tcase  types [TARGET:.Load] Restr ictions Root Only .String ():\n \t \treturn	\tcase types.LoadRestrictionsRootOnly.String():\n\t\treturn types.LoadRestrictionsRootOnly\n\tcase types.LoadRestrictionsNone.String():\n\t\treturn types.LoadRestrictions	"\tcase types.LoadRestrictionsNone.String(), ""none"":\n\t\treturn types.LoadRestrictionsNone\n\tdefault:\n\t\treturn types.LoadRestrictionsRootOnly"	spurious_correlation_results/human_annotation/full_code/test16/generated.go	spurious_correlation_results/human_annotation/full_code/test16/reference.go	spurious_correlation_results/human_annotation/full_code/test16/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/prompt.txt			
test16_t595_s10	1	10	16	test16	595	.Load	LoadRestrictionsRootOnly	LoadRestrictionsNone	10	503	.Load	0.000779	or ,\n \t\t \t [] string { types [SOURCE:.Load] Restr ictions Root Only .String (),\n \t\t\t \ttypes	 returned <|im_end|> \n <|im_start|> assistant \n \tcase  types [TARGET:.Load] Restr ictions Root Only .String ():\n \t \treturn	\tcase types.LoadRestrictionsRootOnly.String():\n\t\treturn types.LoadRestrictionsRootOnly\n\tcase types.LoadRestrictionsNone.String():\n\t\treturn types.LoadRestrictions	"\tcase types.LoadRestrictionsNone.String(), ""none"":\n\t\treturn types.LoadRestrictionsNone\n\tdefault:\n\t\treturn types.LoadRestrictionsRootOnly"	spurious_correlation_results/human_annotation/full_code/test16/generated.go	spurious_correlation_results/human_annotation/full_code/test16/reference.go	spurious_correlation_results/human_annotation/full_code/test16/generated_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/reference_completion.txt	spurious_correlation_results/human_annotation/full_code/test16/prompt.txt			
