item_id	test_sample_index	target_token_index	source_rank	auto_strict_label	auto_loose_label	mapped	oracle_reason	source_node_type	target_node_type	source_node_text	target_node_text
test16_t595_s01	16	595	1	supported	supported	True	source_in_target_selector_chain	identifier	field_identifier	types	LoadRestrictionsRootOnly
test16_t595_s02	16	595	2	supported	supported	True	target_in_source_selector_chain	selector_expression	field_identifier		LoadRestrictionsRootOnly
test16_t595_s03	16	595	3	spurious	spurious	True	unsupported	selector_expression	field_identifier		LoadRestrictionsRootOnly
test16_t595_s04	16	595	4	spurious	spurious	True	unsupported	expression_case	field_identifier		LoadRestrictionsRootOnly
test16_t595_s05	16	595	5	spurious	spurious	True	unsupported	selector_expression	field_identifier		LoadRestrictionsRootOnly
test16_t595_s06	16	595	6	supported	supported	True	target_in_source_selector_chain	selector_expression	field_identifier		LoadRestrictionsRootOnly
test16_t595_s07	16	595	7	spurious	spurious	True	unsupported	selector_expression	field_identifier		LoadRestrictionsRootOnly
test16_t595_s08	16	595	8	supported	supported	True	target_in_source_selector_chain	selector_expression	field_identifier		LoadRestrictionsRootOnly
test16_t595_s09	16	595	9	supported	supported	True	target_in_source_selector_chain	identifier	field_identifier	flagLoadRestrictorName	LoadRestrictionsRootOnly
test16_t595_s10	16	595	10	supported	supported	True	target_in_source_selector_chain	selector_expression	field_identifier		LoadRestrictionsRootOnly
test46_t2160_s01	46	2160	1	supported	supported	True	same_selector_chain	selector_expression	interpreted_string_literal		"""cannot update the privateKeyType field without changingRootPKIPath"""
test46_t2160_s02	46	2160	2	supported	supported	True	same_selector_chain	selector_expression	interpreted_string_literal		"""cannot update the privateKeyType field without changingRootPKIPath"""
test46_t2160_s03	46	2160	3	supported	supported	True	same_selector_chain	selector_expression	interpreted_string_literal		"""cannot update the privateKeyType field without changingRootPKIPath"""
test46_t2160_s04	46	2160	4	spurious	spurious	True	unsupported	selector_expression	interpreted_string_literal		"""cannot update the privateKeyType field without changingRootPKIPath"""
test46_t2160_s05	46	2160	5	spurious	spurious	False	unmapped				
test46_t2160_s06	46	2160	6	supported	supported	True	same_selector_chain	interpreted_string_literal_content	interpreted_string_literal	"""cannot update the PrivateKeyBits field without changing RootPKIPath"""	"""cannot update the privateKeyType field without changingRootPKIPath"""
test46_t2160_s07	46	2160	7	spurious	spurious	True	unsupported	field_identifier	interpreted_string_literal	PrivateKeyBits	"""cannot update the privateKeyType field without changingRootPKIPath"""
